"m.id";"o.id";"n.year_of_publication";"n.Erscheinungsort";"n.controversy";"n.type"
"02-0879";"02-0755";1562;"Mühlhausen/Elsaß";"Majoristischer Streit";"co-authors"
"02-0791";"02-0755";1562;"Mühlhausen/Elsaß";"Majoristischer Streit";"co-authors"
"02-0755";"02-0791";1562;"Mühlhausen/Elsaß";"Majoristischer Streit";"co-authors"
"02-0716";"02-0791";1562;"Mühlhausen/Elsaß";"Majoristischer Streit";"co-authors"
"02-0879";"02-0791";1562;"Mühlhausen/Elsaß";"Majoristischer Streit";"co-authors"
"02-0755";"02-0879";1562;"Mühlhausen/Elsaß";"Majoristischer Streit";"co-authors"
"02-0716";"02-0879";1562;"Mühlhausen/Elsaß";"Majoristischer Streit";"co-authors"
"02-0791";"02-0879";1562;"Mühlhausen/Elsaß";"Majoristischer Streit";"co-authors"
"02-0755";"02-0879";1562;"Mühlhausen/Elsaß";"Abendmahlslehre und Christologie / allgemeiner Druck";"co-authors"
"02-0852";"02-0034";1584;"Neustadt a.d. Hardt";"Abendmahlslehre und Christologie";"co-authors"
"02-0034";"02-0852";1584;"Neustadt a.d. Hardt";"Abendmahlslehre und Christologie";"co-authors"
"02-0824";"02-0673";1551;"Nürnberg";"Osiandrischer Streit";"co-authors"
"02-1029";"02-0673";1551;"Nürnberg";"Osiandrischer Streit";"co-authors"
"02-0741";"02-0691";1579;"Nürnberg";"Diskussion FC";"co-authors"
"02-0879";"02-0691";1579;"Nürnberg";"Diskussion FC";"co-authors"
"02-0758";"02-0691";1579;"Nürnberg";"Diskussion FC";"co-authors"
"02-0691";"02-0741";1579;"Nürnberg";"Diskussion FC";"co-authors"
"02-0879";"02-0741";1579;"Nürnberg";"Diskussion FC";"co-authors"
"02-0758";"02-0741";1579;"Nürnberg";"Diskussion FC";"co-authors"
"02-0741";"02-0758";1579;"Nürnberg";"Diskussion FC";"co-authors"
"02-0691";"02-0758";1579;"Nürnberg";"Diskussion FC";"co-authors"
"02-0879";"02-0758";1579;"Nürnberg";"Diskussion FC";"co-authors"
"02-0673";"02-0824";1551;"Nürnberg";"Osiandrischer Streit";"co-authors"
"02-1029";"02-0824";1551;"Nürnberg";"Osiandrischer Streit";"co-authors"
"02-0829";"02-0827";1555;"Nürnberg";"Osiandrischer Streit";"co-authors"
"02-0827";"02-0829";1555;"Nürnberg";"Osiandrischer Streit";"co-authors"
"02-0741";"02-0879";1579;"Nürnberg";"Diskussion FC";"co-authors"
"02-0691";"02-0879";1579;"Nürnberg";"Diskussion FC";"co-authors"
"02-0758";"02-0879";1579;"Nürnberg";"Diskussion FC";"co-authors"
"02-0673";"02-1029";1551;"Nürnberg";"Osiandrischer Streit";"co-authors"
"02-0824";"02-1029";1551;"Nürnberg";"Osiandrischer Streit";"co-authors"
"02-0737";"02-0716";1575;"Oberursel/Taunus";"allgemeiner Druck";"co-authors"
"02-0716";"02-0737";1575;"Oberursel/Taunus";"allgemeiner Druck";"co-authors"
"02-0722";"02-0716";1562;"Regensburg";"Majoristischer Streit";"co-authors"
"02-0879";"02-0716";1562;"Regensburg";"Synergistischer Streit";"co-authors"
"02-0722";"02-0716";1562;"Regensburg";"Synergistischer Streit";"co-authors"
"02-0722";"02-0716";1556;"Regensburg";"Adiaphoristischer Streit";"co-authors"
"02-0716";"02-0722";1562;"Regensburg";"Majoristischer Streit";"co-authors"
"02-0716";"02-0722";1562;"Regensburg";"Synergistischer Streit";"co-authors"
"02-0716";"02-0722";1556;"Regensburg";"Adiaphoristischer Streit";"co-authors"
"02-0782";"02-0722";1560;"Regensburg";"Abendmahlslehre und Christologie";"co-authors"
"02-0873";"02-0722";1568;"Regensburg";"Majoristischer Streit";"co-authors"
"02-0722";"02-0782";1560;"Regensburg";"Abendmahlslehre und Christologie";"co-authors"
"02-0722";"02-0873";1568;"Regensburg";"Majoristischer Streit";"co-authors"
"02-0716";"02-0879";1562;"Regensburg";"Synergistischer Streit";"co-authors"
"02-0889";"02-0718";1575;"Rostock";"Abendmahlslehre und Christologie";"co-authors"
"02-0718";"02-0889";1575;"Rostock";"Abendmahlslehre und Christologie";"co-authors"
"02-0802";"02-0481";1578;"s.l.";"Diskussion FC";"co-authors"
"02-0999";"02-0481";1578;"s.l.";"Diskussion FC";"co-authors"
"02-0687";"02-0652";1564;"s.l.";"Synergistischer Streit";"co-authors"
"02-0852";"02-0652";1564;"s.l.";"Synergistischer Streit";"co-authors"
"02-0924";"02-0676";1552;"s.l.";"Osiandrischer Streit";"co-authors"
"02-0706";"02-0676";1552;"s.l.";"Osiandrischer Streit";"co-authors"
"02-0852";"02-0687";1564;"s.l.";"Synergistischer Streit";"co-authors"
"02-0652";"02-0687";1564;"s.l.";"Synergistischer Streit";"co-authors"
"02-0971";"02-0701";1569;"s.l.";"Abendmahlslehre und Christologie";"co-authors"
"02-0924";"02-0706";1552;"s.l.";"Osiandrischer Streit";"co-authors"
"02-0676";"02-0706";1552;"s.l.";"Osiandrischer Streit";"co-authors"
"02-0961";"02-0716";1574;"s.l.";"Erbsündenstreit";"co-authors"
"02-0820";"02-0716";1561;"s.l.";"Synergistischer Streit";"co-authors"
"02-0852";"02-0716";1562;"s.l.";"Synergistischer Streit / Erbsündenstreit";"co-authors"
"02-0852";"02-0716";1563;"s.l.";"Synergistischer Streit / Erbsündenstreit";"co-authors"
"02-0800";"02-0789";1551;"s.l.";"Osiandrischer Streit";"co-authors"
"02-0789";"02-0800";1551;"s.l.";"Osiandrischer Streit";"co-authors"
"02-0481";"02-0802";1578;"s.l.";"Diskussion FC";"co-authors"
"02-0999";"02-0802";1578;"s.l.";"Diskussion FC";"co-authors"
"02-0716";"02-0820";1561;"s.l.";"Synergistischer Streit";"co-authors"
"02-0687";"02-0852";1564;"s.l.";"Synergistischer Streit";"co-authors"
"02-0652";"02-0852";1564;"s.l.";"Synergistischer Streit";"co-authors"
"02-0716";"02-0852";1563;"s.l.";"Synergistischer Streit / Erbsündenstreit";"co-authors"
"02-0716";"02-0852";1562;"s.l.";"Synergistischer Streit / Erbsündenstreit";"co-authors"
"02-1003";"02-0887";1578;"s.l.";"Diskussion FC";"co-authors"
"02-0706";"02-0924";1552;"s.l.";"Osiandrischer Streit";"co-authors"
"02-0676";"02-0924";1552;"s.l.";"Osiandrischer Streit";"co-authors"
"02-0716";"02-0961";1574;"s.l.";"Erbsündenstreit";"co-authors"
"02-0701";"02-0971";1569;"s.l.";"Abendmahlslehre und Christologie";"co-authors"
"02-0481";"02-0999";1578;"s.l.";"Diskussion FC";"co-authors"
"02-0802";"02-0999";1578;"s.l.";"Diskussion FC";"co-authors"
"02-0887";"02-1003";1578;"s.l.";"Diskussion FC";"co-authors"
"02-1029";"02-0673";1555;"Straßburg";"Allgemeiner Druck";"co-authors"
"02-0879";"02-0782";1561;"Straßburg";"Antikatholisch";"co-authors"
"02-0782";"02-0879";1561;"Straßburg";"Antikatholisch";"co-authors"
"02-0673";"02-1029";1555;"Straßburg";"Allgemeiner Druck";"co-authors"
"02-0716";"02-0655";1574;"Tübingen";"Erbsündenstreit";"co-authors"
"02-0933";"02-0673";1561;"Tübingen";"Abendmahlslehre und Christologie";"co-authors"
"02-0655";"02-0716";1574;"Tübingen";"Erbsündenstreit";"co-authors"
"02-0673";"02-0933";1561;"Tübingen";"Abendmahlslehre und Christologie";"co-authors"
"02-1029";"02-0782";1576;"Uelzen";"Obrigkeitliche Dokumente";"co-authors"
"02-0782";"02-1029";1576;"Uelzen";"Obrigkeitliche Dokumente";"co-authors"
"02-0838";"02-0782";1557;"Ulm";"Schwenckfeld";"co-authors"
"02-0782";"02-0838";1557;"Ulm";"Schwenckfeld";"co-authors"
"02-0775";"02-0089";1556;"Wittenberg";"Allgemeiner Druck";"co-authors"
"02-0676";"02-0089";1556;"Wittenberg";"Allgemeiner Druck";"co-authors"
"02-0782";"02-0089";1556;"Wittenberg";"Allgemeiner Druck";"co-authors"
"02-0782";"02-0415";1555;"Wittenberg";"Adiaphoristischer Streit";"co-authors"
"02-0852";"02-0583";1562;"Wittenberg";"Synergistischer Streit";"co-authors"
"02-0775";"02-0676";1556;"Wittenberg";"Allgemeiner Druck";"co-authors"
"02-0089";"02-0676";1556;"Wittenberg";"Allgemeiner Druck";"co-authors"
"02-0782";"02-0676";1556;"Wittenberg";"Allgemeiner Druck";"co-authors"
"02-0784";"02-0706";1562;"Wittenberg";"Antinomistischer Streit";"co-authors"
"02-0939";"02-0706";1562;"Wittenberg";"Antinomistischer Streit";"co-authors"
"02-0893";"02-0706";1562;"Wittenberg";"Antinomistischer Streit";"co-authors"
"02-1029";"02-0716";1552;"Wittenberg";"Osiandrischer Streit";"co-authors"
"02-0782";"02-0741";1553;"Wittenberg";"Osiandrischer Streit";"co-authors"
"02-0676";"02-0775";1556;"Wittenberg";"Allgemeiner Druck";"co-authors"
"02-0089";"02-0775";1556;"Wittenberg";"Allgemeiner Druck";"co-authors"
"02-0782";"02-0775";1556;"Wittenberg";"Allgemeiner Druck";"co-authors"
"02-0775";"02-0782";1556;"Wittenberg";"Allgemeiner Druck";"co-authors"
"02-0676";"02-0782";1556;"Wittenberg";"Allgemeiner Druck";"co-authors"
"02-0089";"02-0782";1556;"Wittenberg";"Allgemeiner Druck";"co-authors"
"02-0415";"02-0782";1555;"Wittenberg";"Adiaphoristischer Streit";"co-authors"
"02-0809";"02-0782";1571;"Wittenberg";"Abendmahlslehre und Christologie";"co-authors"
"02-0809";"02-0782";1572;"Wittenberg";"Abendmahlslehre und Christologie";"co-authors"
"02-0741";"02-0782";1553;"Wittenberg";"Osiandrischer Streit";"co-authors"
"02-0809";"02-0782";1571;"Wittenberg";"Abendmahlslehre und Christologie";"co-authors"
"02-0791";"02-0782";1555;"Wittenberg";"Osiandrischer Streit";"co-authors"
"02-0809";"02-0782";1571;"Wittenberg";"Abendmahlslehre und Christologie";"co-authors"
"02-0809";"02-0782";1571;"Wittenberg";"Abendmahlslehre und Christologie";"co-authors"
"02-0809";"02-0782";1572;"Wittenberg";"Abendmahlslehre und Christologie";"co-authors"
"02-0810";"02-0784";1559;"Wittenberg";"Majoristischer Streit";"co-authors"
"02-0706";"02-0784";1562;"Wittenberg";"Antinomistischer Streit";"co-authors"
"02-0939";"02-0784";1562;"Wittenberg";"Antinomistischer Streit";"co-authors"
"02-0893";"02-0784";1562;"Wittenberg";"Antinomistischer Streit";"co-authors"
"02-1001";"02-0786";1573;"Wittenberg";"Abendmahlslehre und Christologie / Allgemeiner Druck";"co-authors"
"02-0820";"02-0786";1573;"Wittenberg";"Abendmahlslehre und Christologie / Allgemeiner Druck";"co-authors"
"02-0875";"02-0786";1573;"Wittenberg";"Abendmahlslehre und Christologie / Allgemeiner Druck";"co-authors"
"02-0953";"02-0786";1573;"Wittenberg";"Abendmahlslehre und Christologie / Allgemeiner Druck";"co-authors"
"02-0782";"02-0791";1555;"Wittenberg";"Osiandrischer Streit";"co-authors"
"02-0782";"02-0809";1571;"Wittenberg";"Abendmahlslehre und Christologie";"co-authors"
"02-0782";"02-0809";1572;"Wittenberg";"Abendmahlslehre und Christologie";"co-authors"
"02-0782";"02-0809";1571;"Wittenberg";"Abendmahlslehre und Christologie";"co-authors"
"02-0782";"02-0809";1571;"Wittenberg";"Abendmahlslehre und Christologie";"co-authors"
"02-0782";"02-0809";1571;"Wittenberg";"Abendmahlslehre und Christologie";"co-authors"
"02-0782";"02-0809";1572;"Wittenberg";"Abendmahlslehre und Christologie";"co-authors"
"02-0784";"02-0810";1559;"Wittenberg";"Majoristischer Streit";"co-authors"
"02-0786";"02-0820";1573;"Wittenberg";"Abendmahlslehre und Christologie / Allgemeiner Druck";"co-authors"
"02-1001";"02-0820";1573;"Wittenberg";"Abendmahlslehre und Christologie / Allgemeiner Druck";"co-authors"
"02-0875";"02-0820";1573;"Wittenberg";"Abendmahlslehre und Christologie / Allgemeiner Druck";"co-authors"
"02-0953";"02-0820";1573;"Wittenberg";"Abendmahlslehre und Christologie / Allgemeiner Druck";"co-authors"
"02-0583";"02-0852";1562;"Wittenberg";"Synergistischer Streit";"co-authors"
"02-0786";"02-0875";1573;"Wittenberg";"Abendmahlslehre und Christologie / Allgemeiner Druck";"co-authors"
"02-1001";"02-0875";1573;"Wittenberg";"Abendmahlslehre und Christologie / Allgemeiner Druck";"co-authors"
"02-0820";"02-0875";1573;"Wittenberg";"Abendmahlslehre und Christologie / Allgemeiner Druck";"co-authors"
"02-0953";"02-0875";1573;"Wittenberg";"Abendmahlslehre und Christologie / Allgemeiner Druck";"co-authors"
"02-0706";"02-0893";1562;"Wittenberg";"Antinomistischer Streit";"co-authors"
"02-0784";"02-0893";1562;"Wittenberg";"Antinomistischer Streit";"co-authors"
"02-0939";"02-0893";1562;"Wittenberg";"Antinomistischer Streit";"co-authors"
"02-0706";"02-0939";1562;"Wittenberg";"Antinomistischer Streit";"co-authors"
"02-0784";"02-0939";1562;"Wittenberg";"Antinomistischer Streit";"co-authors"
"02-0893";"02-0939";1562;"Wittenberg";"Antinomistischer Streit";"co-authors"
"02-0786";"02-0953";1573;"Wittenberg";"Abendmahlslehre und Christologie / Allgemeiner Druck";"co-authors"
"02-1001";"02-0953";1573;"Wittenberg";"Abendmahlslehre und Christologie / Allgemeiner Druck";"co-authors"
"02-0820";"02-0953";1573;"Wittenberg";"Abendmahlslehre und Christologie / Allgemeiner Druck";"co-authors"
"02-0875";"02-0953";1573;"Wittenberg";"Abendmahlslehre und Christologie / Allgemeiner Druck";"co-authors"
"02-0786";"02-1001";1573;"Wittenberg";"Abendmahlslehre und Christologie / Allgemeiner Druck";"co-authors"
"02-0820";"02-1001";1573;"Wittenberg";"Abendmahlslehre und Christologie / Allgemeiner Druck";"co-authors"
"02-0875";"02-1001";1573;"Wittenberg";"Abendmahlslehre und Christologie / Allgemeiner Druck";"co-authors"
"02-0953";"02-1001";1573;"Wittenberg";"Abendmahlslehre und Christologie / Allgemeiner Druck";"co-authors"
"02-0716";"02-1029";1552;"Wittenberg";"Osiandrischer Streit";"co-authors"
"02-1029";"02-0782";1576;"Wolfenbüttel";"Obrigkeitliche Dokumente";"co-authors"
"02-0782";"02-1029";1576;"Wolfenbüttel";"Obrigkeitliche Dokumente";"co-authors"
"02-0842";"02-0770";1576;"Zürich";"Allgemeiner Druch";"co-authors"
"02-0770";"02-0842";1576;"Zürich";"Allgemeiner Druch";"co-authors"
"02-0647";"02-0414";1557;"Augsburg";"Schwenckfeld";"author-opponent"
"02-0782";"02-0698";1555;"Augsburg";"Osiandrischer Streit";"author-opponent"
"02-0662";"02-0716";1558;"Augsburg";"Schwenckfeld";"author-opponent"
"02-0647";"02-0716";1558;"Augsburg";"Schwenckfeld";"author-opponent"
"02-0302";"02-0716";1556;"Augsburg";"Schwenckfeld";"author-opponent"
"02-0838";"02-0716";1556;"Augsburg";"Schwenckfeld";"author-opponent"
"02-0838";"02-0716";1554;"Augsburg";"Schwenckfeld";"author-opponent"
"02-0838";"02-0716";1554;"Augsburg";"Schwenckfeld";"author-opponent"
"02-0647";"02-0721";1558;"Augsburg";"Schwenckfeld";"author-opponent"
"02-0647";"02-0782";1558;"Augsburg";"Schwenckfeld";"author-opponent"
"02-0838";"02-0782";1556;"Augsburg";"Schwenckfeld";"author-opponent"
"02-0838";"02-0791";1556;"Augsburg";"Schwenckfeld";"author-opponent"
"02-0782";"02-1004";1555;"Augsburg";"Osiandrischer Streit";"author-opponent"
"02-0716";"02-0556";1567;"Basel";"Allgemeiner Druck";"author-opponent"
"02-0061";"02-0741";1561;"Basel";"Abendmahlslehre und Christologie";"author-opponent"
"02-0766";"02-0876";1556;"Basel";"Abendmahlslehre und Christologie / Allgemeiner Druck";"author-opponent"
"02-0766";"02-0876";1556;"Basel";"Abendmahlslehre und Christologie";"author-opponent"
"02-0766";"02-0876";1560;"Basel";"Abendmahlslehre und Christologie";"author-opponent"
"02-0716";"02-0654";1562;"Bautzen";"Allgemeiner Druck";"author-opponent"
"02-0279";"02-0654";1562;"Bautzen";"Majoristischer Streit/ Adiaphoristischer Streit";"author-opponent"
"02-0791";"02-0838";1556;"Breslau";"Schwenckfeld";"author-opponent"
"02-0660";"02-0647";1549;"Coburg";"Widerstand gegen das Augsburger Interim";"author-opponent"
"02-0848";"02-0655";1559;"Dillingen";"allgemeiner Druck";"author-opponent"
"02-0848";"02-0681";1558;"Dillingen";"Allgemeiner Druck / Wormser Gespräch";"author-opponent"
"02-0848";"02-0716";1558;"Dillingen";"Allgemeiner Druck / Wormser Gespräch";"author-opponent"
"02-0848";"02-0716";1559;"Dillingen";"allgemeiner Druck";"author-opponent"
"02-0848";"02-0782";1558;"Dillingen";"Allgemeiner Druck / Wormser Gespräch";"author-opponent"
"02-0848";"02-0782";1559;"Dillingen";"allgemeiner Druck";"author-opponent"
"02-0848";"02-0793";1559;"Dillingen";"allgemeiner Druck";"author-opponent"
"02-0848";"02-0838";1559;"Dillingen";"allgemeiner Druck";"author-opponent"
"02-0848";"02-1029";1558;"Dillingen";"Allgemeiner Druck / Wormser Gespräch";"author-opponent"
"02-0800";"02-0529";1580;"Dresden";"Diskussion FC";"author-opponent"
"02-0596";"02-0070";1566;"Eisleben";"obrigkeitliche Dokumente";"author-opponent"
"02-0845";"02-0493";1572;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0657";"02-0609";1565;"Eisleben";"Allgemeiner Druck";"author-opponent"
"02-0845";"02-0649";1577;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0845";"02-0655";1578;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0785";"02-0716";1575;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0748";"02-0716";1573;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0789";"02-0733";1561;"Eisleben";"Abendmahlslehre und Christologie";"author-opponent"
"02-0685";"02-0733";1561;"Eisleben";"Abendmahlslehre und Christologie";"author-opponent"
"02-0685";"02-0733";1561;"Eisleben";"Abendmahlslehre und Christologie";"author-opponent"
"02-0716";"02-0741";1572;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0845";"02-0741";1572;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0785";"02-0749";1574;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0789";"02-0775";1562;"Eisleben";"Majoristischer Streit";"author-opponent"
"02-0873";"02-0775";1564;"Eisleben";"Majoristischer Streit";"author-opponent"
"02-0785";"02-0785";1575;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0845";"02-0785";1575;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0845";"02-0785";1577;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0716";"02-0791";1572;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0714";"02-0802";1574;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0714";"02-0802";1574;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0714";"02-0802";1570;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0845";"02-0811";1562;"Eisleben";"Antikatholisch";"author-opponent"
"02-0845";"02-0820";1572;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0845";"02-0820";1573;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0785";"02-0832";1574;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0845";"02-0838";1559;"Eisleben";"Schwenckfeld";"author-opponent"
"02-0785";"02-0845";1575;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0658";"02-0845";1580;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-1002";"02-0845";1580;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0712";"02-0845";1574;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0785";"02-0845";1574;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0820";"02-0845";1573;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0785";"02-0845";1573;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0785";"02-0845";1573;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0785";"02-0845";1575;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0845";"02-0845";1575;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0820";"02-0845";1572;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0746";"02-0845";1574;"Eisleben";"Erbsündenstreit";"author-opponent"
"02-0858";"02-0848";1562;"Eisleben";"Antikatholisch";"author-opponent"
"02-0876";"02-0851";1566;"Eisleben";"Synergistischer Streit";"author-opponent"
"02-0789";"02-0851";1566;"Eisleben";"Synergistischer Streit";"author-opponent"
"02-0654";"02-0852";1564;"Eisleben";"Synergistischer Streit";"author-opponent"
"02-0785";"02-0852";1564;"Eisleben";"Synergistischer Streit";"author-opponent"
"02-0785";"02-0852";1564;"Eisleben";"Synergistischer Streit";"author-opponent"
"02-0714";"02-0854";1569;"Eisleben";"Antinomistischer Streit";"author-opponent"
"02-0324";"02-0876";1557;"Emden";"Abendmahlslehre und Christologie";"author-opponent"
"02-0716";"02-0784";1558;"Erfurt";"Adiaphoristischer/Majoristischer Streit";"author-opponent"
"02-0784";"02-0800";1552;"Erfurt";"Osiandrischer Streit";"author-opponent"
"02-0654";"02-0800";1552;"Erfurt";"Osiandrischer Streit";"author-opponent"
"02-0654";"02-0800";1552;"Erfurt";"Osiandrischer Streit";"author-opponent"
"02-0784";"02-0800";1552;"Erfurt";"Osiandrischer Streit";"author-opponent"
"02-0793";"02-0820";1562;"Erfurt";"Antinomistischer Streit";"author-opponent"
"02-0716";"02-0666";1567;"Frankfurt";"Abendmahlslehre und Christologie";"author-opponent"
"02-0700";"02-0090";1558;"Frankfurt a.M.";"Allgemeiner Druck / Wormser Gespräch";"author-opponent"
"02-0879";"02-0654";1564;"Frankfurt a.M.";"Antinomistischer Streit";"author-opponent"
"02-0716";"02-0666";1566;"Frankfurt a.M.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0673";"02-0678";1563;"Frankfurt a.M.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0673";"02-0678";1563;"Frankfurt a.M.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0673";"02-0678";1562;"Frankfurt a.M.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0700";"02-0768";1558;"Frankfurt a.M.";"Allgemeiner Druck / Wormser Gespräch";"author-opponent"
"02-0700";"02-0768";1558;"Frankfurt a.M.";"Allgemeiner Druck / Wormser Gespräch";"author-opponent"
"02-0646";"02-0775";1557;"Frankfurt a.M.";"Majoristischer Streit";"author-opponent"
"02-0879";"02-0775";1557;"Frankfurt a.M.";"Majoristischer Streit";"author-opponent"
"02-0716";"02-0800";1552;"Frankfurt a.M.";"Osiandrischer Streit";"author-opponent"
"02-0700";"02-0848";1558;"Frankfurt a.M.";"Allgemeiner Druck / Wormser Gespräch";"author-opponent"
"02-0655";"02-0848";1558;"Frankfurt a.M.";"allgemeiner Druck";"author-opponent"
"02-0700";"02-0848";1558;"Frankfurt a.M.";"Allgemeiner Druck / Wormser Gespräch";"author-opponent"
"02-0665";"02-0856";1552;"Frankfurt a.M.";"Antikatholisch";"author-opponent"
"02-0673";"02-0867";1563;"Frankfurt a.M.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0673";"02-0867";1562;"Frankfurt a.M.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0700";"02-0868";1558;"Frankfurt a.M.";"Allgemeiner Druck / Wormser Gespräch";"author-opponent"
"02-0673";"02-0116";1557;"Frankfurt a.M.";"Antikatholisch";"author-opponent"
"02-0755";"02-0654";1564;"Frankfurt a.M.";"allgemeiner Druck";"author-opponent"
"02-0820";"02-0793";1562;"Frankfurt a.M.";"Antinomistischer Streit";"author-opponent"
"02-0820";"02-0775";1562;"Frankfurt an der Oder";"Antinomistischer Streit";"author-opponent"
"02-0793";"02-0800";1552;"Frankfurt an der Oder";"Osiandrischer Streit";"author-opponent"
"02-0793";"02-0800";1552;"Frankfurt an der Oder";"Osiandrischer Streit";"author-opponent"
"02-1029";"02-0800";1552;"Frankfurt an der Oder";"Osiandrischer Streit";"author-opponent"
"02-0793";"02-0820";1564;"Frankfurt an der Oder";"Antinomistischer Streit";"author-opponent"
"02-0793";"02-0820";1564;"Frankfurt an der Oder";"Antinomistischer Streit";"author-opponent"
"02-0793";"02-0820";1563;"Frankfurt an der Oder";"Antinomistischer Streit";"author-opponent"
"02-0793";"02-0848";1558;"Frankfurt an der Oder";"Abendmahlslehre und Christologie / Osiandrischer Streit / Allgemeiner Druck";"author-opponent"
"02-0700";"02-0768";1560;"Frankfurt a.M.";"Allgemeiner Druck";"author-opponent"
"02-0759";"02-0741";1561;"Freiburg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0666";"02-0655";1565;"Genf";"Abendmahlslehre und Christologie";"author-opponent"
"02-0711";"02-0702";1567;"Genf";"Abendmahlslehre und Christologie";"author-opponent"
"02-0508";"02-0702";1566;"Genf";"Abendmahlslehre und Christologie";"author-opponent"
"02-0666";"02-0716";1565;"Genf";"Abendmahlslehre und Christologie";"author-opponent"
"02-0699";"02-0741";1574;"Genf";"Abendmahlslehre und Christologie";"author-opponent"
"02-0061";"02-0741";1562;"Genf";"Abendmahlslehre und Christologie";"author-opponent"
"02-0666";"02-0741";1561;"Genf";"Abendmahlslehre und Christologie";"author-opponent"
"02-0681";"02-0741";1561;"Genf";"Abendmahlslehre und Christologie und stancaristischer Streit";"author-opponent"
"02-0699";"02-0741";1574;"Genf";"Abendmahlslehre und Christologie";"author-opponent"
"02-0666";"02-0841";1572;"Genf";"Abendmahlslehre und Christologie";"author-opponent"
"02-0111";"02-0841";1579;"Genf";"Abendmahlslehre und Christologie";"author-opponent"
"02-0666";"02-0841";1571;"Genf";"Abendmahlslehre und Christologie";"author-opponent"
"02-0666";"02-0841";1571;"Genf";"Abendmahlslehre und Christologie";"author-opponent"
"02-0666";"02-0841";1573;"Genf";"Abendmahlslehre und Christologie";"author-opponent"
"02-0681";"02-0847";1561;"Genf";"Abendmahlslehre und Christologie und stancaristischer Streit";"author-opponent"
"02-0061";"02-0870";1562;"Genf";"Abendmahlslehre und Christologie";"author-opponent"
"02-0681";"02-0876";1557;"Genf";"Abendmahlslehre und Christologie";"author-opponent"
"02-0785";"02-0845";1577;"Halle";"Erbsündenstreit";"author-opponent"
"02-0782";"02-0681";1557;"Hamburg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0782";"02-0766";1557;"Hamburg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0650";"02-0800";1552;"Hamburg";"Osiandrischer Streit";"author-opponent"
"02-0673";"02-0061";1576;"Heidelberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0689";"02-0655";1575;"Heidelberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0699";"02-0706";1575;"Heidelberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0382";"02-0741";1575;"Heidelberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0699";"02-0741";1575;"Heidelberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0061";"02-0758";1576;"Heidelberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0841";"02-0764";1565;"Heidelberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0855";"02-0777";1566;"Heidelberg";"Allgemeiner Druck";"author-opponent"
"02-0855";"02-0777";1565;"Heidelberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0764";"02-0777";1565;"Heidelberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0711";"02-0777";1565;"Heidelberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0764";"02-0789";1565;"Heidelberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0859";"02-0838";1575;"Heidelberg";"Schwenckfeld";"author-opponent"
