n.id,n.format,n.vd16_number,n.controversy,n.Erscheinungsort,n.year_of_publication
01-0638,8°,E 927,Abendmahlslehre und Christologie?,Hamburg,1562
01-1339,8°,A 1538,Adiaphoristischer Streit,Hamburg,1549
01-1471,4°,A 1545,Adiaphoristischer Streit,Hamburg,1552
01-2063,4°,A 1546,Adiaphoristischer Streit,Hamburg,1552
01-1503,4°,M 157,Adiaphoristischer Streit / Majoristischer Streit,Hamburg,1553
01-0723,4°,N 513,allgemeiner Druck,Hamburg,1557
01-1413,4°,A 1561,Osiandrischer Streit,Hamburg,1552
01-0743,4°,A 362,Widerstand gegen das Augsburger Interim,Hamburg,1548
01-1283,4°,A 354,Widerstand gegen das Augsburger Interim,Hamburg,1548
01-0046,4°,T 2185,Abendmahlslehre und Christologie,Heidelberg,1572
01-0048,4°,C 297,Abendmahlslehre und Christologie,Heidelberg,1572
01-0050,4°,H 2250,Abendmahlslehre und Christologie,Heidelberg,1572
01-0051,4°,D 261,Abendmahlslehre und Christologie,Heidelberg,1572
01-0052,4°,B 2534,Abendmahlslehre und Christologie,Heidelberg,1572
01-0187,4°,C 6384,Abendmahlslehre und Christologie,Heidelberg,1575
01-0189,4°,C 4065,Abendmahlslehre und Christologie,Heidelberg,1575
01-0255,8°,G 678,Abendmahlslehre und Christologie,Heidelberg,1579
01-0279,8°,M 1374,Abendmahlslehre und Christologie,Heidelberg,1566
01-0282,4°,B 7854,Abendmahlslehre und Christologie,Heidelberg,1566
01-0283,4°,B 7855,Abendmahlslehre und Christologie,Heidelberg,1566
01-0439,8°,P 2784,Abendmahlslehre und Christologie,Heidelberg,1575
01-0441,8°,C 6383,Abendmahlslehre und Christologie,Heidelberg,1575
01-0444,8°,ZV 1223,Abendmahlslehre und Christologie,Heidelberg,1575
01-0506,8°,P 2166,Abendmahlslehre und Christologie,Heidelberg,1563
01-0518,4°,U 328,Abendmahlslehre und Christologie,Heidelberg,1564
01-0535,4°,H 1284,Abendmahlslehre und Christologie,Heidelberg,1564
01-0539,4°,S 5455,Abendmahlslehre und Christologie,Heidelberg,1565
01-0542,4°,W 3320,Abendmahlslehre und Christologie,Heidelberg,1565
01-0543,8°,E 3670,Abendmahlslehre und Christologie,Heidelberg,1565
01-0545,8°,U 329,Abendmahlslehre und Christologie,Heidelberg,1566
01-0609,4°,G 3575,Abendmahlslehre und Christologie,Heidelberg,1562
01-0814,8°,M 3540,Abendmahlslehre und Christologie,Heidelberg,1560
01-0951,8°,U 298,Abendmahlslehre und Christologie,Heidelberg,1565
01-1161,8°,M 3531,Abendmahlslehre und Christologie,Heidelberg,1560
01-1162,8°,M 3530,Abendmahlslehre und Christologie,Heidelberg,1560
01-1193,8°,B 6837,Abendmahlslehre und Christologie,Heidelberg,1561
01-1525,k. A.,G 3576,Abendmahlslehre und Christologie,Heidelberg,1562
01-1606,4°,U 330,Abendmahlslehre und Christologie,Heidelberg,1574
01-1607,8°,O 382,Abendmahlslehre und Christologie,Heidelberg,1573
01-1675,4°,B 7894,Abendmahlslehre und Christologie,Heidelberg,1576
01-1770,4°,O 704,Abendmahlslehre und Christologie,Heidelberg,1565
01-1772,4°,B 1522,Abendmahlslehre und Christologie,Heidelberg,1574
01-1790,4°,T 1686,Abendmahlslehre und Christologie,Heidelberg,1575
01-1870,4°,B 2523,Abendmahlslehre und Christologie,Heidelberg,1561
01-1871,8°,B 6835,Abendmahlslehre und Christologie,Heidelberg,1563
01-1906,4°,P 5105,Abendmahlslehre und Christologie,Heidelberg,1571
01-1907,4°,H 2256,Abendmahlslehre und Christologie,Heidelberg,1574
01-1908,8°,B 6832,Abendmahlslehre und Christologie,Heidelberg,1576
01-1922,8°,S 10355,Abendmahlslehre und Christologie,Heidelberg,1565
01-1927,8°,B 7714,Abendmahlslehre und Christologie,Heidelberg,1576
01-1929,k. A.,E 3914,Abendmahlslehre und Christologie,Heidelberg,1563
01-0498,4°,P 741,allgemeiner Druck,Heidelberg,1563
01-2028,8°,ZV 22372,Allgemeiner Druck,Heidelberg,1566
01-0500,4°,B 2207,Antitrinitarischer Streit,Heidelberg,1563
01-0794,k. A.,H 3106,Antitrinitarischer Streit,Heidelberg,1559
01-1954,8°,H 2255,Christologie,Heidelberg,1574
01-0509,4°,P 2188,Obrigkeitliche Dokumente,Heidelberg,1563
01-0512,4°,C 4837,Obrigkeitliche Dokumente,Heidelberg,1562
01-1217,8°,P 2183,obrigkeitliche Dokumente,Heidelberg,1563
01-0188,4°,T 1699,Schwenckfeld,Heidelberg,1575
01-1555,4°,T 1704,Schwenckfeld,Heidelberg,1575
01-0577,8°,in: G 2531,Abendmahlslehre und Christologie,Heinrichs Stadt bey Wolffenbüttel,1571
01-0354,4°,H 3116,Abendmahlslehre und Christologie,Helmstedt,1580
01-1942,k. A.,--,Allgemeiner Druck,Helmstedt,1577
01-1946,4°,S 7798,Allgemeiner Streit,Herford,1550
01-1649,4°,S 2271,Abendmahlslehre und Christologie,Hof,1574
01-0054,4°,E 816,Abendmahlslehre und Christologie,Ingolstadt,1572
01-1228,4°,D 2052,Abendmahlslehre und Christologie,Ingolstadt,1564
01-1245,4°,S 8285,Abendmahlslehre und Christologie,Ingolstadt,1565
01-0550,4°,S 8607,Allgemeiner Druck,Ingolstadt,1561
01-1744,4°,S 8572,Allgemeiner Druck,Ingolstadt,1561
01-1648,4°,S 8588,allgemeiner Druck / antikatholisch,Ingolstadt,1562
01-1262,4°,H 1626,Widerstand gegen das Augsburger Interim,Ingolstadt,1548
01-0003,4°,ZV 3226,Abendmahlslehre und Christologie,Jena,1571
01-0004,8°,B 1460,Abendmahlslehre und Christologie,Jena,1571
01-0005,4°,ZV 17165,Abendmahlslehre und Christologie,Jena,1571
01-0006,4°,C 2156,Abendmahlslehre und Christologie,Jena,1571
01-0014,4°,S 5593,Abendmahlslehre und Christologie,Jena,1571
01-0024,4°,M 660,Abendmahlslehre und Christologie,Jena,1571
01-0031,4°,W 2898,Abendmahlslehre und Christologie,Jena,1572
01-0039,8°,B 5434,Abendmahlslehre und Christologie,Jena,1572
01-0040,4°,C 2231,Abendmahlslehre und Christologie,Jena,1572
01-0043,4°,ZV 17168,Abendmahlslehre und Christologie,Jena,1571
01-0049,4°,W 2899,Abendmahlslehre und Christologie,Jena,1572
01-0317,8°,C 2162,Abendmahlslehre und Christologie,Jena,1570
01-0334,8°,I 176,Abendmahlslehre und Christologie,Jena,1571
01-0335,4°,W 2729,Abendmahlslehre und Christologie,Jena,1571
01-0355,4°,W 2728,Abendmahlslehre und Christologie,Jena,1571
01-0359,8°,M 5871;  W 2273,Abendmahlslehre und Christologie,Jena,1571
01-0360,4°,H 3111,Abendmahlslehre und Christologie,Jena,1571
01-0379,4°,W 2856,Abendmahlslehre und Christologie,Jena,1572
01-0562,8°,F 1485,Abendmahlslehre und Christologie,Jena,1561
01-0621,4°,ZV 17166,Abendmahlslehre und Christologie,Jena,1571
01-0932,4°,ZV 17167,Abendmahlslehre und Christologie,Jena,1571
01-1103,8°,S 3314,Abendmahlslehre und Christologie,Jena,1556
01-1147,8°,H 3102,Abendmahlslehre und Christologie,Jena,1560
01-1154,8°,H 3103,Abendmahlslehre und Christologie,Jena,1560
01-1548,8°,C 2162,Abendmahlslehre und Christologie,Jena,1570
01-1594,4°,H 3076,Abendmahlslehre und Christologie,Jena,1571
01-1614,4°,H 3157,Abendmahlslehre und Christologie,Jena,1572
01-1638,8°,C 2209,Abendmahlslehre und Christologie,Jena,1570
01-1807,8°,F 1489,Abendmahlslehre und Christologie,Jena,1561
01-1809,4°,ZV 17169,Abendmahlslehre und Christologie,Jena,1571
01-1898,4°,ZV 9322,Abendmahlslehre und Christologie,Jena,1574
01-0553,4°,M 5874,Abendmahlslehre und Christologie / Allgemeiner Druck,Jena,1561
01-1071,8°,W 2814,Abendmahlslehre und Christologie / Allgemeiner Druck,Jena,1571
01-0626,8°,G 261,Abendmahlslehre und Christologie / Osiandrischer Streit,Jena,1562
01-0162,4°,V 2541,Adiaphoristischer Streit,Jena,1570
01-0632,4°,A 2374,Adiaphoristischer Streit,Jena,1562
01-0755,4°,V 2769,Adiaphoristischer Streit,Jena,1559
01-0758,4°,S 1006,Adiaphoristischer Streit,Jena,1558
01-0759,4°,S 1007,Adiaphoristischer Streit,Jena,1558
01-0760,4°,F 1274,Adiaphoristischer Streit,Jena,1558
01-0773,4°,L 3730,Adiaphoristischer Streit,Jena,1558
01-0793,4°,W 2703,Adiaphoristischer Streit,Jena,1559
01-1120,k. A.,F 1482,Adiaphoristischer Streit,Jena,1558
01-1487,4°,F 1412,Adiaphoristischer Streit,Jena,1560
01-1545,4°,A 2371,Adiaphoristischer Streit,Jena,1554
01-1646,4°,A 2362,Adiaphoristischer Streit,Jena,1554
01-1647,4°,A 2361,Adiaphoristischer Streit,Jena,1554
01-0830,4°,W 3500,Adiaphoristischer Streit (?),Jena,1560
01-1722,4°,A 2393,Adiaphoristischer Streit / Antikatholisch,Jena,1555
01-0934,8°,S 9077,Adiaphoristischer Streit?,Jena,1555
01-0749,4°,F 1271,Adiaphoristischer/Majoristischer Streit,Jena,1558
01-0752,4°,A 2345,Adiaphoristischer/Majoristischer Streit,Jena,1558
01-0361,4°,H 3072,Allgemeine Schrift,Jena,1571
01-1131,8°,F 1333,Allgemeine Schrift,Jena,1558
01-0128,4°,B 1462,allgemeiner Druck,Jena,1569
01-0132,2°,K 1945,Allgemeiner Druck,Jena,1569
01-0142,4°,K 1950,Allgemeiner Druck,Jena,1570
01-0148,4°,B 1573,allgemeiner Druck,Jena,1570
01-0158,4°,H 3109,Allgemeiner Druck,Jena,1570
01-0321,4°,K 1948,Allgemeiner Druck,Jena,1570
01-0476,8°,S 5566,allgemeiner Druck,Jena,1579
01-0477,8°,S 5566,allgemeiner Druck,Jena,1579
01-0478,8°,S 5566,allgemeiner Druck,Jena,1579
01-0791,4°,I 310,Allgemeiner Druck,Jena,1569
01-0800,4°,F 1281,allgemeiner Druck,Jena,1559
01-0829,2°,E 239,Allgemeiner Druck,Jena,1560
01-1074,8°,H 3153,Allgemeiner Druck,Jena,1572
01-1191,8°,J 207,Allgemeiner Druck,Jena,1561
01-1233,4°,E 46,Allgemeiner Druck,Jena,1564
01-1401,4°,A 2384,allgemeiner Druck,Jena,1562
01-1520,2°,K 1946,allgemeiner Druck,Jena,1569
01-1621,8°,W 2804,Allgemeiner Druck,Jena,1572
01-1752,4°,F 1453,Allgemeiner Druck,Jena,1558
01-1798,4°,L 3637,Allgemeiner Druck,Jena,1557
01-1824,4°,K 1951,Allgemeiner Druck,Jena,1570
01-2015,4°,F 1280,allgemeiner Druck,Jena,1559
01-0560,4°,O 1495,Allgemeiner Druck / Antinomistischer Streit,Jena,1561
01-1878,8°,H 3035,Allgemeiner Druck / Obrigkeitliche Dokumente,Jena,1571
01-0754,4°,A 2382,allgemeiner Druck / Synergistischer Streit,Jena,1558
01-1714,8°,S 7720,Allgemeiner Druck / Synergistischer Streit,Jena,1561
01-0750,4°,G 310,Allgemeiner Druck / Wormser Gespräch,Jena,1558
01-0585,4°,S 7730,Antikatholisch,Jena,1562
01-0633,4°,A 2383,Antikatholisch,Jena,1562
01-0669,4°,F 1275,Antikatholisch,Jena,1554
01-0581,4°,A 2403,Antikatholisch / Adiaphoristischer Streit,Jena,1562
01-1164,4°,W 2868,Antikatholisch / Adiaphoristischer Streit,Jena,1560
01-1721,4°,A 2341,Antikatholisch / Adiaphoristischer Streit,Jena,1555
01-1827,8°,W 2870,Antikatholisch / Adiaphoristischer Streit,Jena,1560
01-0784,8°,F 1539,antikatholische Schrift,Jena,1559
01-0331,8°,W 2710,Antinomistischer Streit,Jena,1571
01-0357,4°,W 2844,Antinomistischer Streit,Jena,1571
01-0788,4°,F 1331,Antinomistischer Streit,Jena,1559
01-0798,4°,F 1435,Antinomistischer Streit,Jena,1559
01-0803,4°,P 3814,Antinomistischer Streit,Jena,1559
01-1515,k. A.,O 1482,Antinomistischer Streit,Jena,1560
01-1518,4°,W 2739,Antinomistischer Streit,Jena,1570
01-1519,4°,W 2850,Antinomistischer Streit,Jena,1570
01-0009,4°,W 2902,Erbsündenstreit,Jena,1571
01-0023,4°,B 1838,Erbsündenstreit,Jena,1571
01-0025,4°,S 7625,Erbsündenstreit,Jena,1571
01-0026,4°,H 3175,Erbsündenstreit,Jena,1571
01-0033,4°,W 2895,Erbsündenstreit,Jena,1572
01-0034,4°,S 3876,Erbsündenstreit,Jena,1572
01-0035,4°,L 3527,Erbsündenstreit,Jena,1572
01-0056,4°,L 3525,Erbsündenstreit,Jena,1572
01-0057,4°,W 2760,Erbsündenstreit,Jena,1572
01-0273,4°,F 3342,Erbsündenstreit,Jena,1579
01-0315,4°,W 2845,Erbsündenstreit,Jena,1570
01-0318,4°,H 3034,Erbsündenstreit,Jena,1570
01-0332,8°,W 2864,Erbsündenstreit,Jena,1571
01-0343,4°,W 2806,Erbsündenstreit,Jena,1571
01-0351,8°,P 1093,Erbsündenstreit,Jena,1571
01-0372,4°,W 2755,Erbsündenstreit,Jena,1572
01-0373,4°,W 2847,Erbsündenstreit,Jena,1572
01-0378,8°,W 2852,Erbsündenstreit,Jena,1572
01-0381,4°,H 3029,Erbsündenstreit,Jena,1572
01-0382,4°,H 2992,Erbsündenstreit,Jena,1572
01-0384,4°,M 5062,Erbsündenstreit,Jena,1572
01-0385,4°,W 2903,Erbsündenstreit,Jena,1572
01-0389,8°,K 1068,Erbsündenstreit,Jena,1572
01-0548,4°,M 5059,Erbsündenstreit,Jena,1573
01-0573,2°,--,Erbsündenstreit,Jena,1561
01-1142,8°,F 1347,Erbsündenstreit,Jena,1559
01-1167,8°,F 1348,Erbsündenstreit,Jena,1560
01-1554,4°,S 7525,Erbsündenstreit,Jena,1571
01-1565,4°,L 3498,Erbsündenstreit,Jena,1561
01-1573,4°,L 3494,Erbsündenstreit,Jena,1560
01-1623,4°,W 2843,Erbsündenstreit,Jena,1570
01-1626,4°,B 5432,Erbsündenstreit,Jena,1572
01-1690,4°,H 3044,Erbsündenstreit,Jena,1572
01-2059,4°,H 3120,Erbsündenstreit,Jena,1572
01-1730,4°,J 211,Majoristischer / Synergistischer Streit,Jena,1560
01-0127,4°,W 2718 (B 1569),Majoristischer Streit,Jena,1569
01-0340,4°,W 2840,Majoristischer Streit,Jena,1571
01-0362,4°,W 2838,Majoristischer Streit,Jena,1571
01-0888,8°,M 4537,Majoristischer Streit,Jena,1557
01-1483,4°,V 2407,Majoristischer Streit,Jena,1570
01-1591,4°,M 5868,Majoristischer Streit,Jena,1567
01-1850,4°,V 2408,Majoristischer Streit,Jena,1570
01-1855,4°,V 2409,Majoristischer Streit,Jena,1570
01-1100,8°,S 3321,Majoristischer Streit/Synergistischer Streit,Jena,1555
01-0098,4°,S 1125,Obrigkeitliche Dokumente,Jena,1567
01-0130,4°,S 1130,Obrigkeitliche Dokumente,Jena,1569
01-0131,4°,S 1123,Obrigkeitliche Dokumente,Jena,1569
01-0785,4°,S 1098,Obrigkeitliche Dokumente,Jena,1559
01-0787,4°,S 1099,Obrigkeitliche Dokumente,Jena,1559
01-0855,8°,S 1101,Obrigkeitliche Dokumente,Jena,1560
01-0907,4°,S 1100,obrigkeitliche Dokumente,Jena,1559
01-1577,2°,M 2889,Obrigkeitliche Dokumente,Jena,1571
01-1776,2°,M 2901,Obrigkeitliche Dokumente,Jena,1571
01-0802,4°,F 1400,Schwenckfeld,Jena,1559
01-1105,8°,P 4476,Schwenckfeld,Jena,1556
01-0143,8°,B 1565,Synergistischer Streit,Jena,1570
01-0147,4°,H 3730,Synergistischer Streit,Jena,1570
01-0393,8°,H 3071,Synergistischer Streit,Jena,1572
01-1061,4°,S 9219,Synergistischer Streit,Jena,1565
01-1122,4°,S 9267,Synergistischer Streit,Jena,1558
01-1209,8°,P 5090,Synergistischer Streit,Jena,1560
01-1661,8°,J 208,Synergistischer Streit,Jena,1561
01-1671,8°,B 1566,Synergistischer Streit,Jena,1562
01-1672,8°,B 1567,Synergistischer Streit,Jena,1562
01-1673,4°,J 209,Synergistischer Streit,Jena,1562
01-1754,8°,Q 13,Synergistischer Streit,Jena,1562
01-0020,8°,B 1834,Abendmahlslehre und Christologie,s.l,1571
01-0030,8°,H 389,Abendmahlslehre und Christologie,s.l,1571
01-0045,8°,M 4800,Abendmahlslehre und Christologie,s.l,1572
01-0058,4°,C 2312,Abendmahlslehre und Christologie,s.l,1572
01-0062,8°,V 1189,Abendmahlslehre und Christologie,s.l,1572
01-0092,4°,H 3727,Abendmahlslehre und Christologie,s.l,1567
01-0115,4°,H 3073,Abendmahlslehre und Christologie,s.l,1568
01-0126,4°,S 2926,Abendmahlslehre und Christologie,s.l,1568
01-0149,4°,H 3728,Abendmahlslehre und Christologie,s.l,1570
01-0193,8°,F 1452,Abendmahlslehre und Christologie,s.l,1575
01-0209,k. A.,B 5487,Abendmahlslehre und Christologie,s.l,1576
01-0212,4°,T 1879,Abendmahlslehre und Christologie,s.l,1577
01-0215,4°,T 1687,Abendmahlslehre und Christologie,s.l,1577
01-0227,4°,T 210,Abendmahlslehre und Christologie,s.l,1577
01-0274,4°,A 2278,Abendmahlslehre und Christologie,s.l,1579
01-0451,8°,D 1312,Abendmahlslehre und Christologie,s.l,1576
01-0528,8°,H 3147,Abendmahlslehre und Christologie,s.l,1564
01-0718,8°,L 7162,Abendmahlslehre und Christologie,s.l,1556
01-0767,4°,H 1314,Abendmahlslehre und Christologie,s.l,1558
01-0817,k. A.,A 2765,Abendmahlslehre und Christologie,s.l,1560
01-0872,8°,P 4517,Abendmahlslehre und Christologie,s.l,1557
01-0874,8°,A 1683,Abendmahlslehre und Christologie,s.l,1557
01-1201,4°,vacat,Abendmahlslehre und Christologie,s.l,1562
01-1205,8°,ZV 10918,Abendmahlslehre und Christologie,s.l,1562
01-1239,8°,P 3070,Abendmahlslehre und Christologie,s.l,1565
01-1590,4°,T 217,Abendmahlslehre und Christologie,s.l,1577
01-1713,4°,M 7120,Abendmahlslehre und Christologie,s.l,1576
01-1733,4°,B 7436,Abendmahlslehre und Christologie,s.l,1566
01-1944,k. A.,--,Abendmahlslehre und Christologie,s.l,1569
01-1945,k. A.,--,Abendmahlslehre und Christologie,s.l,1569
01-2065,k. A.,L 7767,Abendmahlslehre und Christologie,s.l,1577
01-0769,4°,M 1696,Abendmahlslehre und Christologie / Schwenckfeld,s.l,1558
01-0771,4°,M 1697,Abendmahlslehre und Christologie / Schwenckfeld,s.l,1558
01-0886,4°,S 830,Adiaphoristischer Streit,s.l,1555
01-2054,8°,A 1482,Adiaphoristischer Streit,s.l,1555
01-0136,4°,K 2589,allgemeiner Druck,s.l,1569
01-0272,k. A.,H 769,allgemeiner Druck,s.l,1579
01-0634,4°,C 1398,allgemeiner Druck,s.l,1562
01-1910,"8°, 4°",--,Allgemeiner Druck,s.l,1557
01-1941,4°,ZV 5907,Allgemeiner Druck,s.l,1567
01-1110,4°,S 8595,Allgemeiner Druck / Wormser Gespräch,s.l,1558
01-1727,4°,B 6831,Allgemeiner Druck / Wormser Gespräch,s.l,1558
01-1787,4°,T 686,Antikatholisch,s.l,1552
01-1789,4°,T 685,Antikatholisch,s.l,1552
01-0140,8°,S 10341,Antinomistischer Streit,s.l,1569
01-1935,8°,V 837,Christologie,s.l,1563
01-1957,8°,K 576,Christologie,s.l,1577
01-0266,4°,E 720,Diskussion FC,s.l,1579
01-0027,4°,F 1464,Erbsündenstreit,s.l,1571
01-0059,8°,K 2605,Erbsündenstreit,s.l,1572
01-0060,4°,I 279,Erbsündenstreit,s.l,1572
01-0087,4°,L 3533,Erbsündenstreit,s.l,1574
01-0174,8°,B 1568,Erbsündenstreit,s.l,1575
01-0182,4°,S 7491,Erbsündenstreit,s.l,1575
01-0200,8°,T 1881,Erbsündenstreit,s.l,1576
01-0205,4°,F 1338,Erbsündenstreit,s.l,1576
01-0210,4°,H 767,Erbsündenstreit,s.l,1576
01-0216,4°,S 7712,Erbsündenstreit,s.l,1577
01-0218,4°,S 10190,Erbsündenstreit,s.l,1577
01-0219,4°,S 7583,Erbsündenstreit,s.l,1577
01-0221,4°,S 7619,Erbsündenstreit,s.l,1577
01-0243,4°,S 7620,Erbsündenstreit,s.l,1578
01-0250,4°,S 7524,Erbsündenstreit,s.l,1578
01-0251,4°,S 7696,Erbsündenstreit,s.l,1578
01-0259,4°,S 10376,Erbsündenstreit,s.l,1579
01-0265,4°,L 3552,Erbsündenstreit,s.l,1579
01-0268,4°,S 7478,Erbsündenstreit,s.l,1579
01-0269,4°,S 7698,Erbsündenstreit,s.l,1579
01-0270,4°,S 7735,Erbsündenstreit,s.l,1579
01-0271,k. A.,S 7490,Erbsündenstreit,s.l,1579
01-0388,4°,F 1332,Erbsündenstreit,s.l,1572
01-0970,4°,O 783,Erbsündenstreit,s.l,1578
01-1329,4°,F 2020,Erbsündenstreit,s.l,1574
01-1539,4°,S 7697,Erbsündenstreit,s.l,1579
01-1540,4°,S 7485,Erbsündenstreit,s.l,1579
01-1541,4°,S 7632,Erbsündenstreit,s.l,1579
01-1544,4°,F 1505,Erbsündenstreit,s.l,1574
01-1602,8°,I 286,Erbsündenstreit,s.l,1575
01-1665,4°,D 663,Erbsündenstreit,s.l,1574
01-1685,4°,ZV 10349,Erbsündenstreit,s.l,1573
01-1716,4°,H 1565,Erbsündenstreit,s.l,1570
01-1760,8°,ZV 5911,Erbsündenstreit,s.l,1575
01-1785,8°,vacat,Erbsündenstreit,s.l,1576
01-1926,4°,I 315,Erbsündenstreit,s.l,1580
01-1948,4°,ZV 24316,Erbsündenstreit,s.l,1580
01-0867,8°,M 3298,k. A.,s.l,1550
01-2032,k. A.,k. A.,k. A.,s.l,k. A.
01-2033,4°,A 2236,k. A.,s.l,k. A.
01-1912,4°,I 283,Konkordienformel,s.l,1581
01-0494,4°,R 2239,Magdeburger Streit,s.l,1563
01-0495,8°,W 2724,Magdeburger Streit,s.l,1563
01-1632,4°,H 3085,Magdeburger Streit,s.l,1563
01-1720,4°,E 450,Magdeburger Streit,s.l,1565
01-1497,8°,F 1278,Majoristischer  Streit,s.l,1557
01-0110,4°,C 2390,Majoristischer Streit,s.l,1568
01-0310,4°,F 1253,Majoristischer Streit,s.l,1568
01-0968,6° (8°),M 5867,Majoristischer Streit,s.l,1570
01-1489,8°,vacat,Majoristischer Streit,s.l,1553
01-1513,4°,O 1485,Majoristischer Streit,s.l,1558
01-0703,8°,G 262,Osiandrischer Streit,s.l,1555
01-0859,4°,B 5468,Osiandrischer Streit,s.l,1552
01-1381,4°,P 842,Osiandrischer Streit,s.l,1552
01-1472,8°,H 2650,Osiandrischer Streit,s.l,1559
01-1617,8°,M 1821,Osiandrischer Streit,s.l,1556
01-1639,4°,M 5880,Osiandrischer Streit,s.l,1552
01-1068,8°,--,Osiandrischer Streit?,s.l,1551
01-0157,2°,S 4831/S4832,Schwenckfeld,s.l,1570
01-0741,4°,M 1690,Schwenckfeld,s.l,1557
01-0827,8°,M 1694,Schwenckfeld,s.l,1567
01-1076,8°,S 8547,Stancaristischer Streit,s.l,1551
01-0503,4°,F 1531,Synergistischer Streit,s.l,1562
01-0940,4°,S 5884,Synergistischer Streit,s.l,1562
01-1210,8°,V 986,Synergistischer Streit,s.l,1562
01-0640,4°,S 1111,Synergistischer Streit ?,s.l,1563
01-1237,8°,Q 16,Synergistischer Streit/Erbsünde,s.l,1564
01-0949,8°,G 2990,Widerstand gegen das Augsburger Interim,s.l,1548
01-0737,4°,L 636,Wormser Gespräch,s.l,1557
01-1045,4°,S 5141,Wormser Gespräch,s.l,1557
01-1091,k. A.,V 1184,Abendmahlslehre und Christologie,Köln,1555
01-0618,4°,N 186,Adiaphoristischer Streit,Köln,1562
01-1053,8°,C 1397,Adiaphoristischer Streit?,Köln,1562
01-1460,8°,S 8598,Allgemeiner Druck / Wormser Gespräch,Köln,1558
01-1090,8°,V 1184,Antitrinitarischer Streit,Köln,1555
01-0914,8°,D 970,Obrigkeitliche Dokumente,Köln,1548
01-1328,4°,W 3869,Widerstand gegen das Augsburger Interim,Köln,1549
01-0076,4°,W 2733,Abendmahlslehre und Christologie,Königsberg,1574
01-0172,4°,W 2735,Abendmahlslehre und Christologie,Königsberg,1575
01-0179,4°,W 2810,Abendmahlslehre und Christologie,Königsberg,1575
01-0183,4°,K 567,Abendmahlslehre und Christologie,Königsberg,1575
01-0184,4°,H 3145,Abendmahlslehre und Christologie,Königsberg,1575
01-0246,8°,W 2888,Abendmahlslehre und Christologie,Königsberg,1578
01-0406,8°,H 2995,Abendmahlslehre und Christologie,Königsberg,1574
01-0415,4°,W 2730,Abendmahlslehre und Christologie,Königsberg,1574
01-0416,8°,W 2709,Abendmahlslehre und Christologie,Königsberg,1574
01-0434,4°,W 2785,Abendmahlslehre und Christologie,Königsberg,1575
01-0504,8°,vacat,Abendmahlslehre und Christologie,Königsberg,1563
01-0725,8°,E 1852,Abendmahlslehre und Christologie,Königsberg,1557
01-1631,4°,W 2731,Abendmahlslehre und Christologie,Königsberg,1574
01-1644,4°,C 2222,Abendmahlslehre und Christologie,Königsberg,1571
01-1893,4°,ZV 19686,Abendmahlslehre und Christologie,Königsberg,1572
01-2016,8°,H 3010,Abendmahlslehre und Christologie,Königsberg,1574
01-0442,8°,ZV 10125,Abendmahlslehre und Christologie; Luther,Königsberg,1575
01-0247,8°,W 2911,Abendmahlslehre und Christologie?,Königsberg,1578
01-1317,4°,S 1141,Adiaphoristischer Streit / Obrigkeitliche Dokumente,Königsberg,1549
01-0426,8°,W 2747,Allgemeiner Druck,Königsberg,1575
01-0430,4°,W 2818,allgemeiner Druck,Königsberg,1575
01-0446,4°,ZV 7870,Allgemeiner Druck,Königsberg,1576
01-0091,2°,P 4795,Allgemeiner Druck / Obrigkeitliche Dokumente / Osiandrischer Streit,Königsberg,1567
01-1635,4°,V 2518,Antikatholisch / Widerstand gegen das Augsburger Interim,Königsberg,1550
01-0435,4°,W 2753,Antitrinitarischer Streit,Königsberg,1575
01-0443,8°,W 2807,Antitrinitarischer Streit,Königsberg,1575
01-2024,8°,W 2865,Antitrinitarischer Streit,Königsberg,1575
01-0090,4°,H 3064,Erbsündenstreit,Königsberg,1574
01-0410,4°,H 3032,Erbsündenstreit,Königsberg,1574
01-0437,4°,K 565,Erbsündenstreit,Königsberg,1575
01-0436,4°,S 3322,Majoristischer Streit,Königsberg,1575
01-0695,4°,P 4793,Obrigkeitliche Dokumente / Osiandrischer Streit,Königsberg,1555
01-0651,4°,O 1108,Osiandrischer Streit,Königsberg,1553
01-0653,4°,P 4779,Osiandrischer Streit,Königsberg,1553
01-0656,4°,O 1107,Osiandrischer Streit,Königsberg,1553
01-0657,4°,O 1146,Osiandrischer Streit,Königsberg,1553
01-0659,4°,F 3393,Osiandrischer Streit,Königsberg,1553
01-0660,4°,O 1098,Osiandrischer Streit,Königsberg,1553
01-0666,4°,ZV 7328,Osiandrischer Streit,Königsberg,1553
01-0676,4°,B 7931,Osiandrischer Streit,Königsberg,1554
01-0678,4°,P 4777,Osiandrischer Streit,Königsberg,1554
01-0706,4°,E 1850,Osiandrischer Streit,Königsberg,1556
01-0727,4°,V 2107,Osiandrischer Streit,Königsberg,1557
01-0776,4°,V 2083,Osiandrischer Streit,Königsberg,1558
01-0860,4°,O 1105,Osiandrischer Streit,Königsberg,1552
01-0861,4°,O 1094,Osiandrischer Streit,Königsberg,1552
01-0868,4°,O 1001,Osiandrischer Streit,Königsberg,1550
01-0877,4°,O 986,Osiandrischer Streit,Königsberg,1550
01-0926,8°,O 1014,Osiandrischer Streit,Königsberg,1549
01-0967,4°,O 1008,Osiandrischer Streit,Königsberg,1550
01-1020,4°,O 1122,Osiandrischer Streit,Königsberg,1551
